"state","date","cases"
"MA",2020-04-08,10727
"MA",2020-04-15,13787
"MA",2020-04-22,15569
"MA",2020-04-29,13468
"MA",2020-05-06,11231
"MA",2020-05-13,8306
"MA",2020-05-20,6870
"MA",2020-05-27,4383
"MA",2020-06-03,3093
"MA",2020-06-10,2010
"MA",2020-06-17,1399
"MA",2020-06-24,1262
"MA",2020-07-01,1298
"MA",2020-07-08,1260
"MA",2020-07-15,1606
"MA",2020-07-22,1594
"MA",2020-07-29,2003
"MA",2020-08-05,2032
"MA",2020-08-12,1991
"MA",2020-08-19,2149
"MA",2020-08-26,2173
"MA",2020-09-02,2371
"MA",2020-09-09,1317
"MA",2020-09-16,2556
"MA",2020-09-23,2813
"MA",2020-09-30,3606
"MA",2020-10-07,4375
"MA",2020-10-14,4501
"MA",2020-10-21,5173
"MA",2020-10-28,8052
"MA",2020-11-04,9081
"MA",2020-11-11,14228
"MA",2020-11-18,18327
"MA",2020-11-25,18720
"MA",2020-12-02,19638
"MA",2020-12-09,35180
"MA",2020-12-16,34700
"MA",2020-12-23,31876
"MA",2020-12-30,31930
"MA",2021-01-06,36135
"MA",2021-01-13,44394
"MA",2021-01-20,32593
"MA",2021-01-27,28463
"MA",2021-02-03,21614
"MA",2021-02-10,17829
"MA",2021-02-17,12990
"MA",2021-02-24,11949
"MA",2021-03-03,10861
"MA",2021-03-10,10518
"MA",2021-03-17,11113
"MA",2021-03-24,13439
"MA",2021-03-31,15764
"MA",2021-04-07,14993
"MA",2021-04-14,14370
"MA",2021-04-21,11815
"MA",2021-04-28,9485
"MA",2021-05-05,7365
"MA",2021-05-12,5579
"MA",2021-05-19,4105
"MA",2021-05-26,2735
"MA",2021-06-02,1238
"MA",2021-06-09,1194
"MA",2021-06-16,620
"MA",2021-06-23,464
"MA",2021-06-30,423
"MA",2021-07-07,552
"MA",2021-07-14,1158
"MA",2021-07-21,2338
"MA",2021-07-28,3930
"MA",2021-08-04,6074
"MA",2021-08-11,7803
"MA",2021-08-18,8805
"MA",2021-08-25,9622
"MA",2021-09-01,11658
"MA",2021-09-08,10836
"MA",2021-09-15,13885
"MA",2021-09-22,12278
"MA",2021-09-29,11414
"MA",2021-10-06,9620
"MA",2021-10-13,9934
"MA",2021-10-20,9944
"MA",2021-10-27,9130
"MA",2021-11-03,9012
"MA",2021-11-10,11334
"MA",2021-11-17,15006
"MA",2021-11-24,20108
"MA",2021-12-01,19993
"MA",2021-12-08,33489
"MA",2021-12-15,33820
"MA",2021-12-22,43022
"MA",2021-12-29,61094
"MA",2022-01-05,127529
"MA",2022-01-12,166550
"MA",2022-01-19,113494
"MA",2022-01-26,77207
"MA",2022-02-02,39663
"MA",2022-02-09,22578
"MA",2022-02-16,13499
"MA",2022-02-23,10277
"MA",2022-03-02,6990
"MA",2022-03-09,5422
"MA",2022-03-16,5002
"MA",2022-03-23,5714
"MA",2022-03-30,7415
"MA",2022-04-06,8995
"MA",2022-04-13,12227
"MA",2022-04-20,14769
"MA",2022-04-27,16620
"MA",2022-05-04,20525
"MA",2022-05-11,27007
"MA",2022-05-18,32720
"MA",2022-05-25,25472
"MA",2022-06-01,17534
"MA",2022-06-08,16514
"MA",2022-06-15,12519
"MA",2022-06-22,9937
"MA",2022-06-29,10643
"MA",2022-07-06,9699
"MA",2022-07-13,4101
"MA",2022-07-20,7872
"MA",2022-07-27,11525
"MA",2022-08-03,11075
"MA",2022-08-10,10584
"MA",2022-08-17,9882
"MA",2022-08-24,9069
"MA",2022-08-31,8796
"MA",2022-09-07,8742
"MA",2022-09-14,7339
"MA",2022-09-21,9004
"MA",2022-09-28,10267
"MA",2022-10-05,20282
"MA",2022-10-12,8964
"MA",2022-10-19,8377
"MA",2022-10-26,8413
"MA",2022-11-02,6200
"MA",2022-11-09,6400
"MA",2022-11-16,5215
"MA",2022-11-23,5266
"MA",2022-11-30,5830
"MA",2022-12-07,8694
"MA",2022-12-14,9857
"MA",2022-12-21,10867
"MA",2022-12-28,9919
"MA",2023-01-04,11949
"MA",2023-01-11,11192
"MA",2023-01-18,8399
"MA",2023-01-25,7156
"MA",2023-02-01,7164
"MA",2023-02-08,5566
"MA",2023-02-15,5478
"MA",2023-02-22,5080
"MA",2023-03-01,4092
"MA",2023-03-08,3375
"MA",2023-03-15,3273
"MA",2023-03-22,2540
"MA",2023-03-29,2507
"MA",2023-04-05,2294
"MA",2023-04-12,1852
"MA",2023-04-19,1533
"MA",2023-04-26,1414
"MA",2023-05-03,1205
"MA",2023-05-10,1221
"MD",2020-01-22,0
"MD",2020-01-29,0
"MD",2020-02-05,0
"MD",2020-02-12,0
"MD",2020-02-19,0
"MD",2020-02-26,0
"MD",2020-03-04,0
"MD",2020-03-11,9
"MD",2020-03-18,77
"MD",2020-03-25,339
"MD",2020-04-01,1561
"MD",2020-04-08,3543
"MD",2020-04-15,4504
"MD",2020-04-22,4742
"MD",2020-04-29,6075
"MD",2020-05-06,7314
"MD",2020-05-13,6648
"MD",2020-05-20,7511
"MD",2020-05-27,6103
"MD",2020-06-03,6560
"MD",2020-06-10,4479
"MD",2020-06-17,3505
"MD",2020-06-24,2368
"MD",2020-07-01,2570
"MD",2020-07-08,2956
"MD",2020-07-15,4152
"MD",2020-07-22,5159
"MD",2020-07-29,6115
"MD",2020-08-05,6136
"MD",2020-08-12,4957
"MD",2020-08-19,4271
"MD",2020-08-26,3832
"MD",2020-09-02,3834
"MD",2020-09-09,4255
"MD",2020-09-16,4318
"MD",2020-09-23,3404
"MD",2020-09-30,3429
"MD",2020-10-07,3939
"MD",2020-10-14,4253
"MD",2020-10-21,4318
"MD",2020-10-28,5189
